Country/Region,"Month, Day, Year of Date",Measure Names,Measure Values
Syria,"April 9, 2020",Confirmed,19
Syria,"April 10, 2020",Confirmed,19
Syria,"April 11, 2020",Confirmed,25
Syria,"April 12, 2020",Confirmed,25
Syria,"April 13, 2020",Confirmed,25
Syria,"April 14, 2020",Confirmed,29
Syria,"April 15, 2020",Confirmed,33
Syria,"April 16, 2020",Confirmed,33
Syria,"April 17, 2020",Confirmed,38
Syria,"April 18, 2020",Confirmed,38
Syria,"April 19, 2020",Confirmed,39
Syria,"April 20, 2020",Confirmed,39
Syria,"April 21, 2020",Confirmed,42
Syria,"April 22, 2020",Confirmed,42
Syria,"April 23, 2020",Confirmed,42
Syria,"April 24, 2020",Confirmed,42
Syria,"April 25, 2020",Confirmed,42
Syria,"April 26, 2020",Confirmed,43
Syria,"April 27, 2020",Confirmed,43
Syria,"April 28, 2020",Confirmed,43
Syria,"April 29, 2020",Confirmed,43
Syria,"April 30, 2020",Confirmed,43
Syria,"May 1, 2020",Confirmed,44
Syria,"May 2, 2020",Confirmed,44
Syria,"May 3, 2020",Confirmed,44
Syria,"May 4, 2020",Confirmed,44
Syria,"May 5, 2020",Confirmed,44
Syria,"May 6, 2020",Confirmed,45
Syria,"May 7, 2020",Confirmed,45
Syria,"May 8, 2020",Confirmed,47
Syria,"May 9, 2020",Confirmed,47
Syria,"May 10, 2020",Confirmed,47
Syria,"May 11, 2020",Confirmed,47
Syria,"May 12, 2020",Confirmed,47
Syria,"May 13, 2020",Confirmed,48
Syria,"May 14, 2020",Confirmed,48
Syria,"May 15, 2020",Confirmed,50
Syria,"May 16, 2020",Confirmed,51
Syria,"May 17, 2020",Confirmed,58
Syria,"May 18, 2020",Confirmed,58
Syria,"May 19, 2020",Confirmed,58
Syria,"May 20, 2020",Confirmed,58
Syria,"May 21, 2020",Confirmed,58
Syria,"May 22, 2020",Confirmed,59
Syria,"May 23, 2020",Confirmed,70
Syria,"May 24, 2020",Confirmed,86
Syria,"May 25, 2020",Confirmed,106
Syria,"May 26, 2020",Confirmed,121
Syria,"May 27, 2020",Confirmed,121
Syria,"May 28, 2020",Confirmed,122
Syria,"May 29, 2020",Confirmed,122
Syria,"May 30, 2020",Confirmed,122
Syria,"May 31, 2020",Confirmed,122
Syria,"June 1, 2020",Confirmed,123
Syria,"June 2, 2020",Confirmed,123
Syria,"June 3, 2020",Confirmed,123
Syria,"June 4, 2020",Confirmed,124
Syria,"June 5, 2020",Confirmed,124
Syria,"June 6, 2020",Confirmed,125
Syria,"June 7, 2020",Confirmed,141
Syria,"June 8, 2020",Confirmed,144
Syria,"June 9, 2020",Confirmed,146
Syria,"June 10, 2020",Confirmed,152
Syria,"June 11, 2020",Confirmed,164
Syria,"June 12, 2020",Confirmed,164
Syria,"June 13, 2020",Confirmed,170
Syria,"June 14, 2020",Confirmed,177
Syria,"June 15, 2020",Confirmed,177
Syria,"June 16, 2020",Confirmed,177
Syria,"June 17, 2020",Confirmed,178
Syria,"June 18, 2020",Confirmed,187
Syria,"June 19, 2020",Confirmed,187
Syria,"June 20, 2020",Confirmed,198
Syria,"June 21, 2020",Confirmed,204
Syria,"June 22, 2020",Confirmed,219
Syria,"June 23, 2020",Confirmed,231
Syria,"June 24, 2020",Confirmed,231
Syria,"June 25, 2020",Confirmed,242
Syria,"June 26, 2020",Confirmed,255
Syria,"June 27, 2020",Confirmed,256
Syria,"June 28, 2020",Confirmed,256
Syria,"June 29, 2020",Confirmed,269
Syria,"June 30, 2020",Confirmed,279
Syria,"July 1, 2020",Confirmed,293
Syria,"July 2, 2020",Confirmed,312
Syria,"July 3, 2020",Confirmed,328
Syria,"July 4, 2020",Confirmed,338
Syria,"July 5, 2020",Confirmed,358
Syria,"July 6, 2020",Confirmed,372
Syria,"July 7, 2020",Confirmed,372
Syria,"July 8, 2020",Confirmed,372
Syria,"July 9, 2020",Confirmed,372
Syria,"July 10, 2020",Confirmed,394
Syria,"July 11, 2020",Confirmed,394
Syria,"July 12, 2020",Confirmed,394
Syria,"July 13, 2020",Confirmed,417
Syria,"July 14, 2020",Confirmed,439
Syria,"July 15, 2020",Confirmed,458
Syria,"July 16, 2020",Confirmed,477
Syria,"July 17, 2020",Confirmed,496
Syria,"July 18, 2020",Confirmed,496
Syria,"July 19, 2020",Confirmed,496
Syria,"July 20, 2020",Confirmed,522
Syria,"July 21, 2020",Confirmed,540
Syria,"July 22, 2020",Confirmed,561
Syria,"July 23, 2020",Confirmed,584
Syria,"July 24, 2020",Confirmed,608
Syria,"July 25, 2020",Confirmed,627
Syria,"July 26, 2020",Confirmed,650
Syria,"July 27, 2020",Confirmed,
Syria,"July 28, 2020",Confirmed,
Syria,"July 29, 2020",Confirmed,
Syria,"July 30, 2020",Confirmed,
Syria,"July 31, 2020",Confirmed,
Syria,"August 1, 2020",Confirmed,
Syria,"August 2, 2020",Confirmed,
Syria,"August 3, 2020",Confirmed,
Syria,"August 4, 2020",Confirmed,
Syria,"August 5, 2020",Confirmed,
Syria,"August 6, 2020",Confirmed,
Syria,"August 7, 2020",Confirmed,
Syria,"August 8, 2020",Confirmed,
